user_id,song_index,spotify_id,Arousal,Valence,GEMS_Wonder,GEMS_Transcendence,GEMS_Tenderness,GEMS_Nostalgia,GEMS_Peacefulness,GEMS_Power,GEMS_Joyful Activation,GEMS_Tension,GEMS_Sadness
9,2,17CPezzLWzvGfpZW6X8XT0,0.6,0.83,0.0,0.0,0.75,0.75,0.0,0.0,0.25,0.0,0.0
9,3,1yJzoX4xPsACzVxUarXRKa,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.75
9,4,3rTnGUeDrnZV22DvRuUuXr,0.54,0.3,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.5
9,5,5qlJg0Wbj3sslxfwiaRNpq,0.83,0.82,0.0,0.0,0.75,0.0,0.0,0.75,0.75,0.0,0.0
9,6,6qVXkG01rBYGfxIndGOQ3z,0.85,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9,7,47Slg6LuqLaX0VodpSCvPt,0.47,0.54,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.0
9,8,36lkJSDyMEZoWTqtRj8Q8q,0.57,0.66,0.0,0.0,0.75,0.25,0.0,0.25,0.25,0.0,0.0
9,9,6ic8OlLUNEATToEFU3xmaH,0.76,0.3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0
9,10,4KfSdst7rW39C0sfhArdrz,0.58,0.43,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0
9,11,5T8EDUDqKcs6OSOwEsfqG7,0.71,0.78,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.0,0.0
9,12,1hP3y3sr31ZVe1pJnqiKsJ,0.43,0.78,0.0,0.0,0.5,0.0,0.25,0.0,0.25,0.0,0.0
9,13,452KBpASS5lZLeJWX9Ixub,0.55,0.57,0.0,0.0,0.0,0.0,0.25,0.5,0.5,0.0,0.0
9,14,3CifrcOH0P7cMwEInwBcIN,0.57,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0
9,15,1fQ2pN9MLxxi399nlHEth7,0.56,0.62,0.0,0.0,0.25,0.0,0.75,0.0,0.25,0.0,0.0
9,16,0JkIre0YxNmKGMU5V7ZiDx,0.53,0.53,0.0,0.0,0.75,0.0,0.5,0.0,0.0,0.0,0.0
9,17,1aWV3uY3SIEZVbmv45oFWS,0.72,0.89,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0
9,18,5JVlu41jJTVVD8HnkcslNZ,0.25,0.62,0.0,0.25,0.5,0.0,0.75,0.0,0.0,0.0,0.0
9,19,7xQiq1lCtwkJdI3zni9BZp,0.53,0.65,0.0,0.0,0.75,0.0,0.25,0.0,0.0,0.0,0.0
10,0,2TjnCxxQRYn56Ye8gkUKiW,0.61,0.3,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.75
10,1,3ascnOSOR5MX901ylGuhcl,0.89,0.42,0.25,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0
10,2,1qhp5owrFGeZ5Jgin28nwR,0.32,0.4,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.25
10,3,3WvIE0r15DpLbcHvBT3rdB,0.2,0.33,0.0,0.0,0.25,0.75,0.25,0.0,0.0,0.0,0.25
10,4,6ZSTinOwx5dKFYc6iYyGDn,0.05,0.66,0.0,0.0,0.5,0.25,0.5,0.0,0.0,0.0,0.0
10,5,58DXqHKK7TfxUmhCq2ux4E,0.69,0.21,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25
10,6,1mExCoXAGKI6abLGXoG7O3,0.74,0.76,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
10,7,0G21yYKMZoHa30cYVi1iA8,0.63,0.78,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0
10,8,2rbDhOo9Fh61Bbu23T2qCk,0.73,0.23,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.25,0.5
10,9,6o3MvjWfF0jczTzPRcfZsK,0.83,0.75,0.25,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0
